#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
ZNF721	KIAA1982	Zinc finger protein 721	9606|10090|10090|10090|10090|10090|10090|10090|10116|10116	170960|431706|70227|78251|408068|100416706|628709|212281|102551340|100360380	Q8TF20|A0A286YD33|G3X9T2|E9PXJ4|Q8BPD8|Q80VN4|L7N208|Q4QQP3|A0A0G2JZD8|A0A0G2K9E2	ENSG00000182903|ENSMUSG00000055341|ENSMUSG00000068959|ENSMUSG00000090641|ENSMUSG00000048280|ENSMUSG00000058093|ENSMUSG00000095909|ENSMUSG00000021510|ENSRNOG00000047145|ENSRNOG00000051606	TFclass_human.present	TFclass_mouse.present	NA	2.3.3	C2H2 zinc finger factors
ZNF726	-	Zinc finger protein 726	9606	730087	A6NNF4	ENSG00000213967	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF727	-	Putative zinc finger protein 727 	9606	442319	A8MUV8	ENSG00000214652	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF728	-	Zinc finger protein 728	9606|10090|10090|10090|10090|10090|10090|10090|10116|10116	388523|431706|70227|78251|408068|100416706|628709|212281|102551340|100360380	P0DKX0|A0A286YD33|G3X9T2|E9PXJ4|Q8BPD8|Q80VN4|L7N208|Q4QQP3|A0A0G2JZD8|A0A0G2K9E2	ENSG00000269067|ENSMUSG00000055341|ENSMUSG00000068959|ENSMUSG00000090641|ENSMUSG00000048280|ENSMUSG00000058093|ENSMUSG00000095909|ENSMUSG00000021510|ENSRNOG00000047145|ENSRNOG00000051606	TFclass_human.present	TFclass_mouse.present	NA	NA	NA
Znf728	-	Zinc finger protein 728	10090|10116	238690|499563	Q6P5C7|Q5U307	ENSMUSG00000055480|ENSRNOG00000017986	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZNF729	-	Zinc finger protein 729	9606|10090|10090|10090|10090|10090|10090|10090|10116|10116	100287226|431706|70227|78251|408068|100416706|628709|212281|102551340|100360380	A6NN14|A0A286YD33|G3X9T2|E9PXJ4|Q8BPD8|Q80VN4|L7N208|Q4QQP3|A0A0G2JZD8|A0A0G2K9E2	ENSG00000196350|ENSMUSG00000055341|ENSMUSG00000068959|ENSMUSG00000090641|ENSMUSG00000048280|ENSMUSG00000058093|ENSMUSG00000095909|ENSMUSG00000021510|ENSRNOG00000047145|ENSRNOG00000051606	TFclass_human.present	TFclass_mouse.present	NA	2.3.3	C2H2 zinc finger factors
ZNF730	-	Putative zinc finger protein 730	9606	100129543	Q6ZMV8	ENSG00000183850	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF732	FLJ59067	Zinc finger protein 732	9606	654254	B4DXR9	ENSG00000186777	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF736	-	Zinc finger protein 736	9606	728927	B4DX44	ENSG00000234444	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF737	ZNF102	Zinc finger protein 737 	9606	100129842	O75373	ENSG00000237440	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF74	Cos52 Zfp520 ZNF520	Zinc finger protein 74 	9606	7625	Q16587	ENSG00000185252	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF740	Zfp740	Zinc finger protein 740 	9606|10090|10116	283337|68744|685834	Q8NDX6|Q6NZQ6|D4A538	ENSG00000139651|ENSMUSG00000046897|ENSRNOG00000012192	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.2	C2H2 zinc finger factors
ZNF746	FLJ31413 PARIS	Zinc finger protein 746 	9606|10090|10116	155061|69228|312303	Q6NUN9|Q3U133|F1LSG4	ENSG00000181220|ENSMUSG00000057691|ENSRNOG00000007064	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF747	MGC2474	Zinc finger protein 747	9606	65988	Q9BV97	ENSG00000169955	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF749	FLJ16360	Zinc finger protein 749	9606	388567	O43361	ENSG00000186230	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF75A	FLJ31529	Zinc finger protein 75A	9606	7627	Q96N20	ENSG00000162086	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF75D	ZKSCAN24 D8C6 ZSCAN28	Zinc finger protein 75D 	9606	7626	P51815	ENSG00000186376	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF76	Zfp523 ZNF523	Zinc finger protein 76 	9606|10090|10116	7629|224656|361809	P36508|Q8BMU0|B4F7E9	ENSG00000065029|ENSMUSG00000024220|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF763	ZNF440L	Zinc finger protein 763	9606	284390	Q0D2J5	ENSG00000197054	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF764	MGC13138	Zinc finger protein 764	9606|10090|10090|10116|10090|10116	92595|269997|233893|102553866|101604|102553962	Q96H86|Q8BHM7|Q8R0V2|D3ZM47|Q921X0|M0R5W9	ENSG00000169951|ENSMUSG00000054381|ENSMUSG00000045757|ENSRNOG00000031003|ENSMUSG00000078580|ENSRNOG00000046480	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF765	-	Zinc finger protein 765	9606|10090|10116	91661|224585|100365363	Q7L2R6|O88256|A0A0G2K0R0	ENSG00000196417|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF766	-	Zinc finger protein 766	9606	90321	Q5HY98	ENSG00000196214	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF768	FLJ23436	Zinc finger protein 768	9606	79724	Q9H5H4	ENSG00000169957	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
Znf768	-	Zinc finger protein 768	10090|10116	233890|102553763	Q8R0T2|D3ZGK0	ENSMUSG00000047371|ENSRNOG00000029490	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZNF77	pT1	Zinc finger protein 77 	9606	58492	Q15935	ENSG00000175691	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF770	FLJ20582 PRO1914	Zinc finger protein 770	9606|10090|10116	54989|228491|691610	Q6IQ21|Q8BIQ8|F1M076	ENSG00000198146|ENSMUSG00000040321|ENSRNOG00000043037	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF771	DSC43	Zinc finger protein 771 	9606|10090|10116	51333|244216|308992	Q7L3S4|Q8BJ90|F1M1R7	ENSG00000179965|ENSMUSG00000054716|ENSRNOG00000043225	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF772	DKFZp686I1569	Zinc finger protein 772	9606	400720	Q68DY9	ENSG00000197128	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF773	MGC4728	Zinc finger protein 773 	9606	374928	Q6PK81	ENSG00000152439	TFclass_human.present	NA	NA	NA	NA
ZNF774	MGC75360	Zinc finger protein 774	9606	342132	Q6NX45	ENSG00000196391	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF775	MGC33584	Zinc finger protein 775	9606|10090|10116	285971|243372|312309	Q96BV0|Q8BI73|D4A3N5	ENSG00000196456|ENSMUSG00000007216|ENSRNOG00000008362	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF776	FLJ38288	Zinc finger protein 776	9606|10090|10116|10090|10116	284309|232854|292548|619331|682964	Q68DI1|Q8BFS8|A0A0G2K5M4|B2RUI1|M0R3W5	ENSG00000152443|ENSMUSG00000034538|ENSRNOG00000015271|ENSMUSG00000034071|ENSRNOG00000047230	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF777	KIAA1285	Zinc finger protein 777	9606|10090|10116	27153|72306|502764	Q9ULD5|B9EKF4|F1LV17	ENSG00000196453|ENSMUSG00000071477|ENSRNOG00000033639	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF778	FLJ31875	Zinc finger protein 778	9606|10090|10116	197320|22688|367033	Q96MU6|P10076|B2RYA9	ENSG00000170100|ENSMUSG00000063108|ENSRNOG00000025937	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF780A	ZNF780	Zinc finger protein 780A	9606|10090|10090|10090|10090|10116|10090|10090|10090|10116|10116|10116	284323|22717|22718|545938|338354|71163|73430|112415|100909824|100360638|100910046|	O75290|P16373|P16374|Q3TQG9|E9Q2S6|D3ZA43|Q9CUC2|Q3UVF6|G3X9H3|M0R7D4|D3ZAE8|D3ZR88	ENSG00000197782|ENSMUSG00000078779|ENSMUSG00000037640|ENSMUSG00000020420|ENSMUSG00000063047|ENSRNOG00000029805|ENSMUSG00000030604|ENSMUSG00000070709|ENSMUSG00000057093|ENSRNOG00000046338|ENSRNOG00000018936|ENSRNOG00000018885	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF780B	-	Zinc finger protein 780B 	9606|10090|10090|10090|10090|10116|10090|10090|10090|10116|10116|10116	163131|22717|22718|545938|338354|71163|73430|112415|100909824|100360638|100910046|	Q9Y6R6|P16373|P16374|Q3TQG9|E9Q2S6|D3ZA43|Q9CUC2|Q3UVF6|G3X9H3|M0R7D4|D3ZAE8|D3ZR88	ENSG00000128000|ENSMUSG00000078779|ENSMUSG00000037640|ENSMUSG00000020420|ENSMUSG00000063047|ENSRNOG00000029805|ENSMUSG00000030604|ENSMUSG00000070709|ENSMUSG00000057093|ENSRNOG00000046338|ENSRNOG00000018936|ENSRNOG00000018885	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF781	FLJ37549	Zinc finger protein 781	9606	163115	Q8N8C0	ENSG00000196381	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF782	FLJ16636	Zinc finger protein 782	9606	158431	Q6ZMW2	ENSG00000196597	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF784	MGC75238	Zinc finger protein 784	9606|10090|10116	147808|654801|308337	Q8NCA9|Q8BI69|D4A0V8	ENSG00000179922|ENSMUSG00000043290|ENSRNOG00000016279	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF785	FLJ32130	Zinc finger protein 785	9606	146540	A8K8V0	ENSG00000197162	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF786	DKFZp762I137	Zinc finger protein 786	9606|10090|10116	136051|330301|100158223	Q8N393|Q8BV42|B2GV07	ENSG00000197362|ENSMUSG00000051499|ENSRNOG00000006925	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF787	-	Zinc finger protein 787 	9606|10090|10116	126208|67109|365176	Q6DD87|Q8BIF9|D3ZDN6	ENSG00000142409|ENSMUSG00000046792|ENSRNOG00000015456	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF788P	FLJ46419	Putative KRAB domain-containing protein ZNF788 	9606	388507	Q6ZQV5	NA	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF789	-	Zinc finger protein 789	9606	285989	Q5FWF6	ENSG00000198556	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF79	pT7	Zinc finger protein 79 	9606	7633	Q15937	ENSG00000196152	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF790	MGC62100 FLJ20350	Zinc finger protein 790	9606|10090	388536|233056	Q6PG37|Q80ZX2	ENSG00000197863|ENSMUSG00000011427	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF791	FLJ90396	Zinc finger protein 791	9606|10090|10116	163049|244556|	Q3KP31|Q497V9|F1LUZ0	ENSG00000173875|ENSMUSG00000074194|ENSRNOG00000023920	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF792	FLJ38451	Zinc finger protein 792	9606	126375	Q3KQV3	ENSG00000180884	TFclass_human.present	NA	NA	2.3.4	C2H2 zinc finger factors
ZNF793	-	Zinc finger protein 793	9606	390927	Q6ZN11	ENSG00000188227	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF799	HIT-40 MGC71805	Zinc finger protein 799 	9606	90576	Q96GE5	ENSG00000196466	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF8	HF.18 Zfp128	Zinc finger protein 8 	9606|10090|10090|10116	7554|243833|232878|102553002	P17098|Q8BGV5|Q3TQC3|D4ADL6	ENSG00000278129|ENSMUSG00000060397|ENSMUSG00000054715|ENSRNOG00000031113	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZNF80	pT17	Zinc finger protein 80 	9606	7634	P51504	ENSG00000174255	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF800	-	Zinc finger protein 800	9606|10090|10116	168850|627049|500057	Q2TB10|Q0VEE6|D3ZPQ4	ENSG00000048405|ENSMUSG00000039841|ENSRNOG00000007662	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF805	-	Zinc finger protein 805	9606	390980	Q5CZA5	ENSG00000204524	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF808	-	Zinc finger protein 808	9606|10090|10116	388558|224585|100365363	Q8N4W9|O88256|A0A0G2K0R0	ENSG00000198482|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF81	HFZ20	Zinc finger protein 81 	9606|10116	347344|100363372	P51508|A0A0G2JY97	ENSG00000197779|ENSRNOG00000057227	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF813	FLJ16542	Zinc finger protein 813	9606	126017	Q6ZN06	ENSG00000198346	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF814	-	Zinc finger protein 814	9606|10090|10116|10090|10116	730051|232854|292548|619331|682964	B7Z6K7|Q8BFS8|A0A0G2K5M4|B2RUI1|M0R3W5	ENSG00000204514|ENSMUSG00000034538|ENSRNOG00000015271|ENSMUSG00000034071|ENSRNOG00000047230	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZNF816	-	Zinc finger protein 816	9606	125893	Q0VGE8	ENSG00000180257	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF823	HSZFP36	Zinc finger protein 823 	9606	55552	P16415	ENSG00000197933	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF829	DKFZp779O175	Zinc finger protein 829	9606	374899	Q3KNS6	ENSG00000185869	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF83	FLJ11015 HPF1	Zinc finger protein 83 	9606	55769	P51522	ENSG00000167766	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF835	BC37295_3	Zinc finger protein 835	9606	90485	Q9Y2P0	ENSG00000127903	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF836	FLJ16287	Zinc finger protein 836	9606|10090|10116	162962|224585|100365363	Q6ZNA1|O88256|A0A0G2K0R0	ENSG00000196267|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF837	-	Zinc finger protein 837	9606	116412	Q96EG3	ENSG00000152475	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF84	HPF2	Zinc finger protein 84 	9606|10090|10116	7637|675812|100365779	P51523|E9QAH2|F1M278	ENSG00000198040|ENSMUSG00000023284|ENSRNOG00000037428	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF841	LOC284371	Zinc finger protein 841	9606|10090|10116	284371|224585|100365363	Q6ZN19|O88256|A0A0G2K0R0	ENSG00000197608|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF844	FLJ14959	Zinc finger protein 844	9606	284391	Q08AG5	ENSG00000223547	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF845	-	Zinc finger protein 845	9606|10090|10116	91664|224585|100365363	Q96IR2|O88256|A0A0G2K0R0	ENSG00000213799|ENSMUSG00000067942|ENSRNOG00000059492	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF846	-	Zinc finger protein 846	9606	162993	Q147U1	ENSG00000196605	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF85	HPF4 HTF1	Zinc finger protein 85 	9606	7639	Q03923	ENSG00000105750	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF850	-	Zinc finger protein 850	9606|10090|10116	342892|330502|499124	A8MQ14|Q6P9Y7|A1A5R5	ENSG00000267041|ENSMUSG00000098022|ENSRNOG00000030932	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZNF852	-	Zinc finger protein 852	9606	285346	Q6ZMS4	ENSG00000178917	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF853	DKFZp434J1015	Zinc finger protein 853	9606|10090|10116	54753|330230|	P0CG23|J3QPU9|M0RAV1	ENSG00000236609|ENSMUSG00000093910|ENSRNOG00000030579	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF860	-	Zinc finger protein 860	9606	344787	A6NHJ4	ENSG00000197385	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF875	-	Zinc finger protein 875 	9606	284459	P10072	ENSG00000181666	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF878	-	Zinc finger protein 878	9606	729747	C9JN71	ENSG00000257446	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF879	DKFZp686E2433	Zinc finger protein 879	9606|10090|10116	345462|214779|497896	B4DU55|Q8BI99|D3ZCJ8	ENSG00000234284|ENSMUSG00000044296|ENSRNOG00000030517	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZNF880	-	Zinc finger protein 880	9606	400713	Q6PDB4	ENSG00000221923	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF891	-	Zinc finger protein 891	9606	101060200	A8MT65	ENSG00000214029	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF90	HTF9	Zinc finger protein 90 	9606	7643	Q03938	ENSG00000213988	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF91	HPF7 HTF10	Zinc finger protein 91 	9606|10090|10090|10090|10090|10090|10090|10090|10116|10116	7644|431706|70227|78251|408068|100416706|628709|212281|102551340|100360380	Q05481|A0A286YD33|G3X9T2|E9PXJ4|Q8BPD8|Q80VN4|L7N208|Q4QQP3|A0A0G2JZD8|A0A0G2K9E2	ENSG00000167232|ENSMUSG00000055341|ENSMUSG00000068959|ENSMUSG00000090641|ENSMUSG00000048280|ENSMUSG00000058093|ENSMUSG00000095909|ENSMUSG00000021510|ENSRNOG00000047145|ENSRNOG00000051606	TFclass_human.present	TFclass_mouse.present	NA	2.3.3	C2H2 zinc finger factors
ZNF92	HPF12 TF12	Zinc finger protein 92 	9606	168374	Q03936	ENSG00000146757	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF93	HPF34 TF34 FLJ12488	Zinc finger protein 93 	9606	81931	P35789	ENSG00000184635	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF98	ZNF739 F7175	Zinc finger protein 98 	9606	148198	A6NK75	ENSG00000197360	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNF99	MGC24986	Zinc finger protein 99	9606	7652	A8MXY4	ENSG00000213973	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZNFX1	KIAA1404 FLJ11277	NFX1-type zinc finger-containing protein 1	9606|10090|10116	57169|98999|296384	Q9P2E3|Q8R151|Q7TP99	ENSG00000124201|ENSMUSG00000039501|ENSRNOG00000008194	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZSCAN1	FLJ33779 ZNF915	Zinc finger and SCAN domain-containing protein 1	9606	284312	Q8NBB4	ENSG00000152467	TFclass_human.present	NA	NA	2.3.2	C2H2 zinc finger factors
ZSCAN10	-	Zinc finger and SCAN domain-containing protein 10 	9606|10090|10116	84891|332221|302962	Q96SZ4|Q3URR7|D3ZFQ4	ENSG00000130182|ENSMUSG00000023902|ENSRNOG00000021782	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN12	KIAA0426 ZNF29K1 ZFP96 dJ29K1.2	Zinc finger and SCAN domain-containing protein 12 	9606|10090|10116	9753|22758|266716	O43309|Q9Z1D7|A0A0G2K4Z9	ENSG00000158691|ENSMUSG00000036721|ENSRNOG00000052959	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN16	FLJ22191 dJ265C24.3	Zinc finger and SCAN domain-containing protein 16 	9606	80345	Q9H4T2	ENSG00000196812	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZSCAN2	FLJ20595 ZNF854	Zinc finger and SCAN domain-containing protein 2 	9606|10090|10116	54993|22691|683603	Q7Z7L9|Q07230|F1M9Z0	ENSG00000176371|ENSMUSG00000038797|ENSRNOG00000022164	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN20	KOX29	Zinc finger and SCAN domain-containing protein 20 	9606|10090|10116	7579|269585|500549	P17040|B2KFW1|D3ZCC2	ENSG00000121903|ENSMUSG00000061894|ENSRNOG00000005886	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
ZSCAN21	DKFZp434L134 NY-REN-21 Zipro1	Zinc finger and SCAN domain-containing protein 21 	9606|10090|10116	7589|22697|304342	Q9Y5A6|Q07231|Q6AXN8	ENSG00000166529|ENSMUSG00000037017|ENSRNOG00000039234	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN22	-	Zinc finger and SCAN domain-containing protein 22 	9606|10090|10116	342945|232878|102553002	P10073|Q3TQC3|D4ADL6	ENSG00000182318|ENSMUSG00000054715|ENSRNOG00000031113	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN23	dJ29K1.3.1	Zinc finger and SCAN domain-containing protein 23 	9606	222696	Q3MJ62	ENSG00000187987	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZSCAN25	FLJ32468	Zinc finger and SCAN domain-containing protein 25 	9606|10090|10116	221785|666311|363872	Q6NSZ9|B2RX31|D4A6L5	ENSG00000197037|ENSMUSG00000070420|ENSRNOG00000042213	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN26	SRE-ZBP	Zinc finger and SCAN domain-containing protein 26 	9606|10090|10116	7741|432731|266792	Q16670|Q5RJ54|D3ZFY2	ENSG00000197062|ENSMUSG00000022228|ENSRNOG00000053518	NA	TFclass_mouse.present	NA	2.3.3	C2H2 zinc finger factors
ZSCAN29	FLJ35867 Zfp690	Zinc finger and SCAN domain-containing protein 29 	9606|10090|10116	146050|99334|311353	Q8IWY8|Q3SYJ9|D3ZPM6	ENSG00000140265|ENSMUSG00000050619|ENSRNOG00000012419	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
Zscan29	-	-	10090|10116	99334|311353	Q3SYJ9|D3ZPM6	ENSMUSG00000050619|ENSRNOG00000012419	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ZSCAN30	ZNF917	Zinc finger and SCAN domain-containing protein 30 	9606|10090	100101467|328918	Q86W11|Q149X8	ENSG00000186814|ENSMUSG00000024274	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZSCAN31	-	Zinc finger and SCAN domain-containing protein 31 	9606	64288	Q96LW9	ENSG00000235109	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZSCAN32	FLJ20417	Zinc finger and SCAN domain-containing protein 32 	9606	54925	Q9NX65	ENSG00000140987	TFclass_human.present	NA	NA	2.3.3	C2H2 zinc finger factors
ZSCAN4	FLJ35105	Zinc finger and SCAN domain-containing protein 4 	9606|10090|10090|10090|10090|10116|10116|10116	201516|545913|245109|665780|665902|503124|299648|100362054	Q8NAM6|A7KBS4|Q80VJ6|E9Q3G0|Q3URS2|F1M6S3|F1LU86|F1M100	ENSG00000180532|ENSMUSG00000090714|ENSMUSG00000054272|ENSMUSG00000095339|ENSMUSG00000070828|ENSRNOG00000028214|ENSRNOG00000042772|ENSRNOG00000031178	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN5A	MGC4161	Zinc finger and SCAN domain-containing protein 5A 	9606|10090|10116	79149|170734|	Q9BUG6|B2RTN3|M0RB12	ENSG00000131848|ENSMUSG00000058028|ENSRNOG00000049014	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
ZSCAN5B	ZNF495B ZNF371	Zinc finger and SCAN domain-containing protein 5B	9606|10090|10116	342933|170734|	A6NJL1|B2RTN3|M0RB12	ENSG00000197213|ENSMUSG00000058028|ENSRNOG00000049014	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.3	C2H2 zinc finger factors
Zscan5b	-	-	10090|10116	170734|	B2RTN3|M0RB12	ENSMUSG00000058028|ENSRNOG00000049014	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
